Time,Grid_frequency,Demand_power,Active_power,Power Control Index
2024-05-03 18:02:00,59.91,-1.7,-1.8,99.0
2024-05-03 18:02:01,59.87,-0.9,-1.1,98.0
2024-05-03 18:02:02,59.92,-2.0,-2.1,99.0
2024-05-03 18:02:03,59.86,-0.7,-0.9,98.0
2024-05-03 18:02:04,59.95,-2.6,-2.7,99.0
2024-05-03 18:02:05,59.97,-3.0,-3.2,98.0
2024-05-03 18:02:06,59.97,-3.1,-3.2,99.0
2024-05-03 18:02:07,59.94,-2.4,-2.6,98.0
2024-05-03 18:02:08,59.93,-2.2,-2.3,99.0
2024-05-03 18:02:09,59.95,-2.7,-2.9,98.0
2024-05-03 18:02:10,59.95,-2.7,-2.9,98.0
2024-05-03 18:02:11,59.85,-0.6,-0.8,98.0
2024-05-03 18:02:12,59.92,-2.1,-2.3,98.0
2024-05-03 18:02:13,59.88,-1.2,-1.4,98.0
2024-05-03 18:02:14,59.95,-2.7,-2.9,98.0
2024-05-03 18:02:15,59.95,-2.7,-2.9,98.0
2024-05-03 18:02:16,59.93,-2.3,-2.5,98.0
2024-05-03 18:02:17,59.81,0.2,0.1,99.0
2024-05-03 18:02:18,59.85,-0.7,-0.8,99.0
2024-05-03 18:02:19,59.8,0.4,0.2,98.0
2024-05-03 18:02:20,59.76,1.2,1.0,98.0
2024-05-03 18:02:21,59.76,1.2,1.0,98.0
2024-05-03 18:02:22,59.76,1.2,1.0,98.0
2024-05-03 18:02:23,59.76,1.1,1.0,99.0
2024-05-03 18:02:24,59.76,1.1,1.0,99.0
2024-05-03 18:02:25,59.84,-0.5,-0.6,99.0
2024-05-03 18:02:26,59.85,-0.8,-0.9,99.0
2024-05-03 18:02:27,59.78,0.7,0.5,98.0
2024-05-03 18:02:28,59.8,0.3,0.1,98.0
2024-05-03 18:02:29,59.81,0.0,-0.2,98.0
2024-05-03 18:02:30,59.76,1.1,1.0,99.0
2024-05-03 18:02:31,59.76,1.1,1.0,99.0
2024-05-03 18:02:32,59.78,0.6,0.5,99.0
2024-05-03 18:02:33,59.79,0.4,0.2,98.0
2024-05-03 18:02:34,59.77,0.8,0.7,99.0
2024-05-03 18:02:35,59.83,-0.4,-0.5,99.0
2024-05-03 18:02:36,59.83,-0.4,-0.5,99.0
2024-05-03 18:02:37,59.81,-0.0,-0.2,98.0
2024-05-03 18:02:38,59.79,0.4,0.2,98.0
2024-05-03 18:02:39,59.8,0.2,0.1,99.0
2024-05-03 18:02:40,59.79,0.4,0.2,98.0
2024-05-03 18:02:41,59.8,0.1,-0.1,98.0
2024-05-03 18:02:42,59.79,0.3,0.1,98.0
2024-05-03 18:02:43,59.8,0.1,0.0,99.0
2024-05-03 18:02:44,59.8,0.1,-0.1,98.0
2024-05-03 18:02:45,59.81,-0.1,-0.2,99.0
2024-05-03 18:02:46,59.78,0.5,0.4,99.0
2024-05-03 18:02:47,59.79,0.3,0.1,98.0
2024-05-03 18:02:48,59.78,0.5,0.4,99.0
2024-05-03 18:02:49,59.79,0.3,0.1,98.0
2024-05-03 18:02:50,59.82,-0.4,-0.5,99.0
2024-05-03 18:02:51,59.76,0.9,0.7,98.0
2024-05-03 18:02:52,59.78,0.4,0.2,98.0
2024-05-03 18:02:53,59.81,-0.2,-0.3,99.0
2024-05-03 18:02:54,59.77,0.6,0.4,98.0
2024-05-03 18:02:55,59.45,10.0,9.7,97.0
2024-05-03 18:02:56,59.45,10.0,9.8,98.00000000000001
2024-05-03 18:02:57,59.45,10.0,9.8,98.00000000000001
2024-05-03 18:02:58,59.45,10.0,9.7,97.0
2024-05-03 18:02:59,59.5,10.0,9.8,98.00000000000001
2024-05-03 18:03:00,59.5,10.0,9.7,97.0
2024-05-03 18:03:01,59.5,10.0,9.7,97.0
2024-05-03 18:03:02,59.7,5.8,5.6,98.0
2024-05-03 18:03:03,59.53,9.4,9.1,97.0
